start_station_id,start_station_name,start_lat,start_lng,ride_count
13430,LaSalle St & Illinois St,41.890762,-87.631697,2554
504,Campbell Ave & Fullerton Ave,41.924632,-87.689307,2553
654,Racine Ave & Washington Blvd,41.883073,-87.656952,2536
597,Chicago Ave & Washington St,42.032562,-87.679101,2441
339,Emerald Ave & 31st St,41.838198,-87.645143,2439
214,Damen Ave & Grand Ave,41.89122,-87.67686,2438
40,LaSalle St & Adams St,41.879344,-87.631985,2423
658,Leavitt St & Division St,41.902997,-87.683825,2388
13033,Milwaukee Ave & Grand Ave,41.891578,-87.648384,2384
13243,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,2371
15529,Mies van der Rohe Way & Chestnut St,41.898587,-87.621915,2361
14,Morgan St & 18th St,41.858086,-87.651073,2327
137,Morgan Ave & 14th Pl,41.862378,-87.651062,2323
191,Canal St & Monroe St,41.88169,-87.63953,2322
503,Drake Ave & Fullerton Ave,41.924399,-87.715441,2284
520,Greenview Ave & Jarvis Ave,42.015962,-87.66857,2264
13053,Green St & Randolph St,41.883668,-87.64867,2259
509,Troy St & North Ave,41.909769,-87.70528,2256
13050,State St & Kinzie St,41.889187,-87.627754,2231
88,Racine Ave & Randolph St,41.884069,-87.656853,2230
13265,Kingsbury St & Erie St,41.893808,-87.641697,2229
13059,Bissell St & Armitage Ave,41.91844,-87.65222,2206
354,Sheridan Rd & Greenleaf Ave,42.010587,-87.662412,2202
272,Indiana Ave & 31st St,41.838842,-87.621857,2194
15530,Rush St & Superior St,41.895765,-87.625908,2186
457,Clark St & Elmdale Ave,41.990518,-87.669834,2179
511,Albany Ave & Bloomingdale Ave,41.914027,-87.705126,2161
101,63rd St Beach,41.781016,-87.57612,2129
316,Damen Ave & Sunnyside Ave,41.96325,-87.679258,2091
246,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,2091
297,Paulina St & Montrose Ave,41.961507,-87.671387,2085
292,Southport Ave & Clark St,41.957081,-87.664199,2080
55,Halsted St & Roosevelt Rd,41.867324,-87.648625,2080
267,Lake Park Ave & 47th St,41.809443,-87.591875,2079
505,Winchester Ave & Elston Ave,41.924091,-87.67646,2074
13276,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,2070
13011,Canal St & Adams St,41.879255,-87.639904,2062
605,University Library (NU),42.052939,-87.673447,2058
13338,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,2053
603,Chicago Ave & Sheridan Rd,42.050491,-87.677821,2034
475,Washtenaw Ave & Lawrence Ave,41.968987,-87.696027,2032
178,State St & 19th St,41.856594,-87.627542,2031
13071,Southport Ave & Roscoe St,41.943739,-87.66402,2019
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,2010
265,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,2008
13221,Wood St & Milwaukee Ave,41.907655,-87.672552,2001
285,Wood St & Hubbard St,41.889899,-87.671473,1980
330,Lincoln Ave & Addison St,41.946176,-87.673308,1963
13034,Michigan Ave & Pearson St,41.89766,-87.62351,1954
119,Ashland Ave & Lake St,41.88592,-87.66717,1953
13277,Broadway & Belmont Ave,41.940106,-87.645451,1949
370,Calumet Ave & 21st St,41.854184,-87.619154,1945
13235,Southport Ave & Waveland Ave,41.94815,-87.66394,1940
15534,Field Blvd & South Water St,41.886349,-87.617517,1936
13157,Aberdeen St & Jackson Blvd,41.877726,-87.654787,1919
13332,Loomis St & Lexington St,41.872187,-87.661501,1909
13021,Clinton St & Lake St,41.885637,-87.641823,1908
13154,Sheffield Ave & Kingsbury St,41.910522,-87.653106,1908
13158,Peoria St & Jackson Blvd,41.877642,-87.649618,1907
482,Campbell Ave & Montrose Ave,41.961526,-87.691165,1883
124,Damen Ave & Cullerton St,41.855048,-87.675726,1861
13303,Clark St & Chicago Ave,41.89675,-87.63089,1861
75,Canal St & Jackson Blvd,41.877245,-87.639366,1853
315,Elston Ave & Wabansia Ave,41.912919,-87.664169,1851
228,Damen Ave & Melrose Ave,41.9406,-87.6785,1848
314,Ravenswood Ave & Berteau Ave,41.957921,-87.673567,1848
506,Spaulding Ave & Armitage Ave,41.917108,-87.710221,1842
382,Western Ave & Congress Pkwy,41.874749,-87.686445,1817
12,South Shore Dr & 71st St,41.766409,-87.565688,1801
664,Leavitt St & Belmont Ave,41.939354,-87.683282,1791
15545,Burnham Harbor,41.856268,-87.613348,1787
498,California Ave & Fletcher St,41.938429,-87.698008,1786
641,Central Park Ave & Bloomingdale Ave,41.914166,-87.716755,1785
202,Halsted St & 18th St,41.857499,-87.646277,1758
453,Clark St & Schreiber Ave,41.999252,-87.671377,1754
15539,Desplaines St & Jackson Blvd,41.878287,-87.643909,1750
13192,Halsted St & Dickens Ave,41.919936,-87.64883,1732
13017,Franklin St & Chicago Ave,41.896747,-87.635668,1730
184,State St & 35th St,41.831036,-87.626798,1718
170,Clinton St & 18th St,41.85795,-87.640826,1713
275,Ashland Ave & 13th St,41.865234,-87.666507,1700
42,Wabash Ave & Cermak Rd,41.852619,-87.626488,1695
493,Western Ave & Roscoe St,41.943034,-87.687288,1693
252,Greenwood Ave & 47th St,41.809835,-87.599383,1688
68,Clinton St & Tilden St,41.875885,-87.640795,1682
311,Leavitt St & Lawrence Ave,41.968885,-87.684001,1681
13136,Damen Ave & Division St,41.903266,-87.678435,1676
13379,Clarendon Ave & Gordon Ter,41.957867,-87.649505,1674
13132,Damen Ave & Chicago Ave,41.895769,-87.67722,1666
13133,Damen Ave & Cortland St,41.915983,-87.677335,1662
15535,Desplaines St & Randolph St,41.884616,-87.644571,1657
13389,Clarendon Ave & Junior Ter,41.961004,-87.649603,1644
478,Rockwell St & Eastwood Ave,41.9659,-87.693638,1613
218,Wells St & 19th St,41.856802,-87.633879,1611
625,Chicago Ave & Dempster St,42.041691,-87.680687,1604
472,Lincoln Ave & Winona St,41.974911,-87.692503,1593
13323,Broadway & Sheridan Rd,41.952833,-87.649993,1580
13191,Sedgwick St & Webster Ave,41.922167,-87.638888,1569
13063,Sheridan Rd & Irving Park Rd,41.954245,-87.654406,1566
13224,Ashland Ave & Blackhawk St,41.907066,-87.667252,1558
471,Francisco Ave & Foster Ave,41.975633,-87.701419,1552
487,California Ave & Byron St,41.952162,-87.698051,1546
13085,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,1544
376,Artesian Ave & Hubbard St,41.889492,-87.688219,1541
402,Shields Ave & 31st St,41.838464,-87.635406,1539
13036,Michigan Ave & Madison St,41.882134,-87.625125,1531
13084,California Ave & Milwaukee Ave,41.922695,-87.697153,1526
499,Kosciuszko Park,41.930585,-87.723777,1525
13194,Ogden Ave & Race Ave,41.891795,-87.658751,1516
280,Morgan St & 31st St,41.8378,-87.65114,1510
13290,Noble St & Milwaukee Ave,41.90068,-87.6626,1508
179,MLK Jr Dr & Pershing Rd,41.8246,-87.61678,1497
425,Harper Ave & 59th St,41.787943,-87.588315,1496
13068,Western Ave & Winnebago Ave,41.91552,-87.687022,1495
510,Spaulding Ave & Division St,41.902707,-87.70922,1477
434,Ogden Ave & Roosevelt Rd,41.866501,-87.684697,1460
355,South Shore Dr & 67th St,41.773643,-87.567514,1459
515,Paulina St & Howard St,42.019159,-87.673573,1457
207,Emerald Ave & 28th St,41.84358,-87.645368,1454
486,Oakley Ave & Irving Park Rd,41.954341,-87.68608,1451
171,May St & Cullerton St,41.855136,-87.654127,1442
13128,Clark St & North Ave,41.911974,-87.631942,1441
381,Western Ave & Monroe St,41.879788,-87.686113,1438
13427,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,1435
208,Laflin St & Cullerton St,41.854915,-87.66356,1427
491,Talman Ave & Addison St,41.946636,-87.694615,1422
413,Woodlawn Ave & Lake Park Ave,41.814093,-87.597005,1420
525,Glenwood Ave & Touhy Ave,42.012701,-87.666058,1410
13006,LaSalle St & Washington St,41.882664,-87.63253,1399
13247,Ashland Ave & Chicago Ave,41.895966,-87.667747,1399
13353,Ada St & Washington Blvd,41.88283,-87.661206,1396
18003,Fairbanks St & Superior St,41.895748,-87.620104,1389
13285,Wood St & Taylor St (Temp),41.869265,-87.673731,1378
480,Albany Ave & Montrose Ave,41.961041,-87.705866,1368
